id,person_type,legal_name,trade_name,tax_id,state_registration,email,phone,is_active,created_at,updated_at
28,PJ,Viana ME,,04761354000100,995777387,viana.me.28@example.com,55014989513433,TRUE,2022-08-17 12:55:05,2026-03-03 05:18:14
29,PJ,Alves Aparecida S.A.,Pimenta,76540303000169,176936763,alves.aparecida.s.a.29@example.com,55001963287083,TRUE,2020-07-17 20:01:56,2026-09-14 09:26:43
30,PF,Rafael Carvalho,,98403535198,,rafael.carvalho.30@example.com,55088995798687,TRUE,2021-02-24 12:52:30,2022-03-02 08:53:01
31,PJ,Souza Melo - ME,,20167512000154,434873471,souza.melo.me.31@example.com,5534955812236,FALSE,2025-07-25 21:55:33,2026-01-15 20:07:07
32,PJ,Santos Cunha S/A S.A.,Jesus,60134360000108,587603669,santos.cunha.s.a.s.a.32@example.com,5596970546688,TRUE,2022-01-17 17:43:59,2023-09-16 18:42:39
33,PJ,Mendonça Câmara Ltda.,Mendonça,26497722000197,065627298,mendon.a.c.mara.ltda.33@example.com,5569990162720,TRUE,2022-10-17 09:00:22,2023-12-20 18:49:05
34,PJ,Garcia ME,Cunha,12720833000106,755646417,garcia.me.34@example.com,5580953100330,TRUE,2023-01-01 13:32:59,2023-07-06 17:43:59
35,PJ,da Costa Cardoso - ME,,89402136000131,193745299,da.costa.cardoso.me.35@example.com,5524919049663,TRUE,2026-12-22 19:09:09,2026-12-30 13:00:47
36,PJ,Pastor e Filhos S.A.,Caldeira Sampaio Ltda.,80054696000178,919058651,pastor.e.filhos.s.a.36@example.com,5550967165726,TRUE,2020-02-01 19:31:11,2021-06-09 23:12:48
37,PF,Vicente Rezende,,77164512949,,vicente.rezende.37@example.com,5598977694531,TRUE,2024-08-18 03:54:29,2025-09-26 20:53:50
38,PJ,Machado ME,,73208006000122,379965075,machado.me.38@example.com,55073954549480,TRUE,2026-08-04 23:16:14,2026-12-24 03:18:38
39,PJ,Barros da Costa e Filhos S.A.,Mendonça,53669193000134,837770143,barros.da.costa.e.filhos.s.a.39@example.com,5534995788568,TRUE,2021-12-01 04:42:01,2024-05-07 20:34:18
40,PF,Dr. Rafael da Mata,,26739473889,,dr.rafael.da.mata.40@example.com,5543913518233,TRUE,2026-11-26 19:15:46,2026-12-14 08:34:14
41,PF,Sra. Kamilly Silveira,,63579866311,,sra.kamilly.silveira.41@example.com,5589941343524,TRUE,2024-07-01 12:27:02,2026-01-07 20:34:45
42,PF,Vitor Cardoso,,48553909689,,vitor.cardoso.42@example.com,5500984271094,TRUE,2023-10-04 15:21:52,2026-09-22 05:05:21
43,PJ,Mendes S.A.,Fernandes,60666029000139,204711671,mendes.s.a.43@example.com,5502929413186,TRUE,2025-12-31 17:28:32,2026-07-08 02:01:09
44,PJ,Vasconcelos Moreira - ME,Macedo,65657070000162,496499091,vasconcelos.moreira.me.44@example.com,5534912328120,TRUE,2022-06-28 22:25:56,2023-04-27 14:16:14
45,PF,Milena Sales,,10937233943,,milena.sales.45@example.com,5574903447134,TRUE,2023-10-04 16:24:17,2025-07-09 14:40:23
46,PF,Fernanda Lima,,50760729026,,fernanda.lima.46@example.com,5583924210249,TRUE,2025-09-10 07:45:41,2026-02-26 10:21:31
47,PJ,Macedo ME,Martins e Filhos,73736641000182,464887719,macedo.me.47@example.com,5565994013990,TRUE,2022-04-05 13:50:55,2024-09-15 22:01:29
48,PF,Juliana Oliveira,,37888454739,,juliana.oliveira.48@example.com,5527987429671,TRUE,2023-02-27 19:42:25,2024-03-16 17:23:21
49,PJ,Ferreira Ltda,,16325767000120,655125674,ferreira.ltda.49@example.com,5580971545168,TRUE,2024-10-04 04:51:43,2026-11-03 11:02:49
50,PJ,Ribeiro - EI Ltda,,19022427000119,760385977,ribeiro.ei.ltda.50@example.com,5534982477109,TRUE,2025-02-04 20:28:21,2026-03-28 07:36:38
51,PF,Emanuel das Neves,,06465786931,,emanuel.das.neves.51@example.com,5508961317127,TRUE,2024-03-20 12:35:08,2024-08-26 05:42:36
52,PJ,TBD,Leão,78182247000163,773782639,moraes.eireli.52@example.com,5521946584044,TRUE,2023-05-05 01:46:47,2025-10-31 21:18:31
53,PF,Rebeca Cassiano,,49528407862,,rebeca.cassiano.53@example.com,55087955886753,TRUE,2021-05-23 12:58:09,2025-10-10 09:51:29
54,PF,Srta. Maria Isis da Conceição,,97604667830,,srta.maria.isis.da.concei.o.54@example.com,5505976627028,TRUE,2021-12-16 16:28:51,2025-07-03 02:07:17
55,PF,Luísa Brito,,78656050052,ISENTO,lu.sa.brito.55@example.com,55018970262174,TRUE,2026-10-16 11:30:30,2026-10-26 04:44:25
56,PF,Dr. Bruno Farias,,22194196226,,dr.bruno.farias.56@example.com,5565978091343,TRUE,2020-11-22 05:07:56,2021-03-10 05:52:00
57,PF,Srta. Maya Brito,,92764905742,,srta.maya.brito.57@example.com,5572940050455,TRUE,2021-03-24 11:35:45,2023-08-06 12:02:35
58,PF,Clara da Cruz,,10787972428,,clara.da.cruz.58@example.com,5569922219693,TRUE,2023-09-24 08:27:41,2026-07-10 18:59:25
59,PF,Cecília da Conceição,,35703947359,,cec.lia.da.concei.o.59@example.com,55047940748217,TRUE,2020-06-16 17:43:19,2025-03-10 08:56:25
60,PJ,Pastor ME,Porto,13299018000188,647436713,pastor.me.60@example.com,5595994406409,TRUE,2024-05-28 13:28:25,2026-04-21 15:38:23
61,PF,Ana Julia Pereira,,59376607066,,ana.julia.pereira.61@example.com,55043995339421,TRUE,2021-10-01 06:26:07,2023-03-01 08:34:01
62,PF,Ana Cecília das Neves,,09300997530,0,ana.cec.lia.das.neves.62@example.com,55009952145623,TRUE,2025-05-14 04:42:14,2026-04-14 16:53:18
63,PJ,Viana Nogueira Ltda.,,42242226000149,884247451,viana.nogueira.ltda.63@example.com,55012936851604,TRUE,2020-11-14 00:01:13,2022-02-20 03:24:41
64,PJ,Marques Ltda.,Pacheco,82843952000131,651370985,marques.ltda.64@example.com,5531974612004,TRUE,2021-06-01 13:27:33,2022-05-09 21:30:32
65,PF,Bruna Brito,,64352107999,,bruna.brito.65@example.com,5582967586926,TRUE,2024-01-17 13:19:38,2025-11-04 15:38:27
66,PF,Beatriz Mendonça,,50569940222,,beatriz.mendon.a.66@example.com,5564905377351,FALSE,2021-01-15 12:02:13,2021-12-10 10:31:10
67,PF,Maria Eduarda Nogueira,,41518438415,,maria.eduarda.nogueira.67@example.com,5506943171390,TRUE,2025-08-06 03:53:40,2026-04-04 15:14:34
68,PF,Lucas Gabriel da Cruz,,15986604628,,lucas.gabriel.da.cruz.68@example.com,55093918393352,TRUE,2024-05-05 10:14:24,2026-02-13 11:43:52
69,PF,Agatha da Mota,,14754808061,,agatha.da.mota.69@example.com,55028942102053,TRUE,2026-07-19 17:14:19,2026-09-07 21:39:39
70,PJ,Almeida Ltda,da Luz Aragão S.A.,03571767000169,681177589,almeida.ltda.70@example.com,5578939084700,TRUE,2026-03-08 04:20:43,2026-10-14 01:10:00
71,PF,Maria Liz Lima,,85708243945,,maria.liz.lima.71@example.com,5577911592124,FALSE,2024-08-31 09:28:54,2025-09-12 00:30:32
72,PJ,Garcia Ltda,Marques,55180747000160,896118367,garcia.ltda.72@example.com,5565976615654,TRUE,2020-10-05 22:05:07,2021-11-22 16:20:20
73,PF,Sr. Renan Azevedo,,14069097856,,sr.renan.azevedo.73@example.com,5511961528098,TRUE,2023-10-28 10:17:27,2026-04-29 00:31:22
74,PJ,Rios S.A.,Jesus Ltda.,73236180000189,604945198,rios.s.a.74@example.com,5527931585149,TRUE,2024-07-06 16:02:38,2025-12-13 06:28:19
75,PJ,Lima Novais - EI EIRELI,Pereira e Filhos,71828121000174,402445502,lima.novais.ei.eireli.75@example.com,55096912018366,TRUE,2024-02-04 17:03:13,2024-12-29 20:12:13
76,PF,Manuela Castro,,37997684832,,manuela.castro.76@example.com,5545999102290,TRUE,2025-05-25 02:10:23,2025-07-14 21:42:10
77,PF,Anna Liz da Mata,,54768640834,,anna.liz.da.mata.77@example.com,55067997643815,TRUE,2020-09-13 20:14:15,2024-09-23 09:25:02
78,PF,Brenda da Paz,,50346840716,,brenda.da.paz.78@example.com,5578940369003,FALSE,2021-01-24 03:35:02,2022-01-05 06:21:04
79,PJ,Cunha EIRELI,Teixeira da Cunha Ltda.,43256953000128,510762268,cunha.eireli.79@example.com,5588951606071,TRUE,2024-09-27 06:57:27,2026-08-07 01:47:09
80,PF,Dr. Nathan Santos,,22085644562,,dr.nathan.santos.80@example.com,5541960529751,TRUE,2021-10-25 12:40:02,2026-01-22 18:23:58
81,PF,Bianca da Cruz,,37192356530,,bianca.da.cruz.81@example.com,5596981645352,TRUE,2024-09-06 15:20:02,2024-09-24 17:30:26
82,PF,Thomas Porto,,72009558928,,thomas.porto.82@example.com,5588935523124,TRUE,2023-08-07 18:40:24,2024-07-01 06:08:10
83,PF,Erick Pereira,,72551787157,,erick.pereira.83@example.com,55012977997995,TRUE,2021-09-26 08:57:41,2023-09-28 08:56:51
84,PF,Luara Cassiano,,65486237545,,luara.cassiano.84@example.com,55017974490581,TRUE,2021-01-31 08:48:52,2022-02-03 10:14:37
85,PJ,Martins ME,Andrade,26127899000100,054119986,martins.me.85@example.com,55098907935978,TRUE,2022-04-02 02:44:13,2022-06-07 04:51:25
86,PJ,Araújo Machado S/A EIRELI,Silva,21783172000159,182037788,ara.jo.machado.s.a.eireli.86@example.com,5525954665905,FALSE,2024-10-20 17:15:33,2025-01-12 12:05:03
87,PJ,Farias S/A S.A.,,46391792000173,864492519,farias.s.a.s.a.87@example.com,55054962914865,TRUE,2024-02-13 16:27:43,2026-02-22 02:31:26
88,PF,Vinicius Borges,,57654529490,,vinicius.borges.88@example.com,5585905423573,TRUE,2026-05-19 17:39:45,2026-10-04 16:01:07
89,PJ,Carvalho Cassiano S/A EIRELI,,33944417000161,418880592,carvalho.cassiano.s.a.eireli.89@example.com,5562922927065,FALSE,2026-04-15 00:46:24,2026-06-18 01:04:52
90,PJ,Macedo Pimenta Ltda.,da Conceição,82213187000176,834735977,macedo.pimenta.ltda.90@example.com,5568986239240,TRUE,2025-03-21 08:05:27,2025-07-21 06:22:02
91,PF,Rafaela Freitas,,29834420390,,rafaela.freitas.91@example.com,5518914124782,TRUE,2026-11-20 22:03:36,2026-12-18 05:08:58
92,PF,Ayla Câmara,,88622294021,,ayla.c.mara.92@example.com,55050960685361,TRUE,2025-12-09 02:10:12,2026-04-23 21:43:26
93,PF,Sr. Arthur Dias,,91937535940,,sr.arthur.dias.93@example.com,5552920472779,TRUE,2020-11-17 15:00:34,2022-12-19 09:05:14
94,PF,Bruno Almeida,,55007359343,0,bruno.almeida.94@example.com,5532989861434,TRUE,2025-03-18 22:33:07,2026-09-28 10:31:32
95,PF,Benicio da Costa,,19408955617,,benicio.da.costa.95@example.com,5597911798089,TRUE,2020-05-17 11:13:02,2020-07-29 15:18:41
96,PF,Diego da Rocha,,86868027451,,diego.da.rocha.96@example.com,5509953962185,TRUE,2021-03-28 06:55:07,2023-05-13 19:44:53
97,PF,Vinicius Nogueira,,98118375110,,vinicius.nogueira.97@example.com,5588906706540,TRUE,2020-01-17 18:52:16,2020-07-11 15:37:58
98,PF,Sr. Luiz Felipe da Costa,,32622897103,,sr.luiz.felipe.da.costa.98@example.com,5595920585277,TRUE,2023-05-20 23:14:59,2025-06-25 04:37:37
99,PF,Emilly Carvalho,,76534501139,,emilly.carvalho.99@example.com,5570943030548,TRUE,2025-07-02 09:28:17,2025-09-27 02:35:23
100,PF,Ísis Melo,,73061489665,,sis.melo.100@example.com,5503945054156,TRUE,2026-11-15 18:30:34,2026-11-25 20:54:11
101,PF,Maysa Gomes,,06743520098,,maysa.gomes.101@example.com,5527975841616,TRUE,2024-08-19 02:48:35,2026-01-18 03:16:08
102,PF,Emilly Nogueira,,43677417538,,emilly.nogueira.102@example.com,5551915447962,TRUE,2022-12-26 01:27:31,2026-12-03 00:24:25
103,PF,Sra. Marcela Machado,,33783685940,,sra.marcela.machado.103@example.com,5559964016582,TRUE,2021-10-26 17:40:21,2021-10-29 21:52:32
104,PJ,Casa Grande - EI Ltda,Andrade,93877006000122,213556909,casa.grande.ei.ltda.104@example.com,55075957192856,TRUE,2021-03-10 12:02:56,2021-04-21 15:53:18
105,PF,Dr. Josué Camargo,,44792697034,,dr.josu.camargo.105@example.com,5527986814473,TRUE,2023-02-12 19:16:46,2026-12-24 21:39:48
106,PF,Laura Sales,,84729453247,,laura.sales.106@example.com,55031921727155,TRUE,2026-08-29 01:50:18,2026-12-14 20:30:26
107,PJ,Novaes - EI S.A.,da Rosa,07475766000171,225831323,novaes.ei.s.a.107@example.com,55005989578291,TRUE,2022-11-09 12:53:31,2025-12-02 12:20:01
108,PF,Leonardo Gonçalves,,09928468036,,leonardo.gon.alves.108@example.com,55086969125177,TRUE,2022-02-01 20:41:55,2022-08-14 22:55:26
109,PJ,Cardoso ME,Vargas Cardoso - ME,63659351000129,801824225,cardoso.me.109@example.com,5558941438424,TRUE,2020-11-01 02:51:34,2023-11-26 10:20:05
110,PF,Yasmin Borges,,88171782337,,yasmin.borges.110@example.com,5529992299590,TRUE,2025-12-07 12:22:24,2026-06-16 10:07:11
111,PF,Bruno Aparecida,,15722301779,,bruno.aparecida.111@example.com,5543996907844,TRUE,2022-06-13 04:06:27,2026-02-04 14:42:53
112,PJ,da Cruz ME,,70067688000102,647102767,da.cruz.me.112@example.com,55035992555625,TRUE,2026-02-09 08:57:05,2026-06-06 07:47:05
113,PJ,Dias S.A.,Campos,30019420000180,473210469,dias.s.a.113@example.com,5532959532787,TRUE,2026-01-02 23:52:21,2026-06-24 18:39:19
114,PJ,das Neves S.A.,Almeida,79525501000141,168733950,das.neves.s.a.114@example.com,5547997480162,TRUE,2023-08-07 11:10:42,2026-10-05 21:11:26
115,PF,Luiz Otávio Teixeira,,20237209152,,luiz.ot.vio.teixeira.115@example.com,5550960983584,TRUE,2025-03-17 04:52:15,2025-10-26 00:07:37
116,PF,Matheus Montenegro,,32960257154,,matheus.montenegro.116@example.com,55084999121655,TRUE,2024-01-20 14:51:42,2024-12-23 20:53:59
117,PF,Maria Clara Sá,,34528008300,,maria.clara.s.117@example.com,55039986800025,TRUE,2024-01-23 08:48:24,2025-12-04 02:23:11
118,PJ,Moreira Ltda,,22310709000126,729825952,moreira.ltda.118@example.com,5594995888794,TRUE,2021-11-15 21:14:16,2024-02-27 01:36:54
119,PF,Allana Freitas,,75900556620,,allana.freitas.119@example.com,5516994097499,TRUE,2021-02-21 15:48:09,2026-06-11 04:19:02
120,PJ,Silveira Aragão - EI S.A.,,05394087000142,728962309,silveira.arag.o.ei.s.a.120@example.com,5530975626368,TRUE,2024-12-17 03:26:38,2025-12-16 03:09:58
121,PJ,Sousa EIRELI,,87941370000101,028385786,sousa.eireli.121@example.com,5527985854973,TRUE,2020-05-08 05:54:01,2021-05-17 10:02:48
122,PJ,da Mota Novais Ltda.,da Rosa Vargas Ltda.,54654627000195,375758441,da.mota.novais.ltda.122@example.com,5586965240415,TRUE,2023-06-18 12:09:50,2023-08-08 16:05:18
123,PJ,Rezende Ltda,Souza,10623791000160,733848421,rezende.ltda.123@example.com,5593930833016,TRUE,2021-06-30 06:18:54,2023-03-18 07:09:29
124,PJ,Silva EIRELI,,54402157000172,712082677,silva.eireli.124@example.com,5545940193802,TRUE,2022-01-24 01:10:45,2024-05-25 14:28:17
125,PF,Emanuelly Andrade,,06337074572,,emanuelly.andrade.125@example.com,5572940049915,TRUE,2022-06-07 20:24:48,2024-10-04 09:34:16
126,PF,Rafael Ramos,,63221712910,,rafael.ramos.126@example.com,5587928743152,TRUE,2026-07-05 09:01:05,2026-11-27 23:15:20
127,PF,Sra. Jade Silva,,34813144691,,sra.jade.silva.127@example.com,55005949329668,TRUE,2025-02-20 13:29:42,2025-08-07 06:57:51
128,PJ,Borges ME,,21461476000108,612275304,borges.me.128@example.com,5537945499045,TRUE,2022-07-12 20:55:42,2023-04-25 23:01:57
129,PF,Srta. Ana Liz Rios,,69484055095,,srta.ana.liz.rios.129@example.com,5574926841459,FALSE,2026-04-06 16:08:15,2026-08-21 11:05:29
130,PF,Henry Carvalho,,17900687114,,henry.carvalho.130@example.com,55027995687833,TRUE,2026-01-03 23:15:12,2026-05-30 22:07:45
131,PF,Anna Liz Moura,,51574058800,,anna.liz.moura.131@example.com,55085919108839,TRUE,2025-08-14 23:54:51,2026-08-05 09:43:44
132,PJ,Cavalcante Duarte - EI S.A.,Camargo,33016661000164,397187072,cavalcante.duarte.ei.s.a.132@example.com,5567990874064,TRUE,2026-11-19 23:40:41,2026-12-19 13:27:12
133,PJ,Souza S.A.,,41779740000155,910651801,souza.s.a.133@example.com,55004962265676,TRUE,2023-04-26 06:11:20,2025-04-30 17:05:04
134,PF,Anna Liz Rodrigues,,52028241810,,anna.liz.rodrigues.134@example.com,5525912868230,TRUE,2025-12-15 06:26:02,2026-08-22 03:49:03
135,PJ,da Rosa - ME,,95907463000148,868633752,da.rosa.me.135@example.com,5531906903311,TRUE,2024-07-02 16:56:48,2025-06-09 18:48:18
136,PJ,Machado - EI ME,da Cruz e Filhos,82962288000140,067383028,machado.ei.me.136@example.com,5539959953428,TRUE,2025-09-06 03:06:43,2025-12-22 16:53:53
137,PF,Noah da Rosa,,93035945926,,noah.da.rosa.137@example.com,5508992687056,TRUE,2025-09-03 21:32:14,2026-01-27 23:48:28
138,PJ,Sampaio Ltda,Jesus,43899284000102,246287334,sampaio.ltda.138@example.com,55070986688263,TRUE,2022-01-27 06:23:53,2023-01-29 10:44:18
139,PJ,Costela EIRELI,Ramos,77829007000145,175183046,costela.eireli.139@example.com,5590913983735,TRUE,2022-12-13 23:54:36,2023-03-12 06:04:05
140,PF,Anthony Gabriel Cunha,,70571003885,,anthony.gabriel.cunha.140@example.com,5517939363854,TRUE,2023-11-29 12:36:28,2026-02-15 04:46:56
141,PJ,Martins S.A.,das Neves,96890416000100,458771753,martins.s.a.141@example.com,5556909320489,TRUE,2020-11-09 21:48:37,2026-06-29 17:40:22
142,PF,Maria Vitória da Rocha,,57765528343,,maria.vit.ria.da.rocha.142@example.com,55035936937854,TRUE,2022-02-08 01:12:33,2023-04-12 14:30:24
143,PF,Rebeca Marques,,94771752850,,rebeca.marques.143@example.com,55052928728080,FALSE,2024-06-24 17:11:59,2025-10-01 06:22:56
144,PF,Benicio Teixeira,,93462381270,,benicio.teixeira.144@example.com,5562931203875,TRUE,2023-11-22 18:46:10,2024-08-14 08:10:11
145,PF,Rodrigo Ribeiro,,21071709402,,rodrigo.ribeiro.145@example.com,55000988600848,TRUE,2026-05-09 08:31:02,2026-10-10 20:10:47
146,PJ,Almeida ME,Cavalcanti,83690942000176,118233984,almeida.me.146@example.com,5546915679334,TRUE,2025-05-21 14:53:48,2026-11-05 08:06:34
147,PJ,Rezende e Filhos ME,Borges - ME,80896207000125,668700217,rezende.e.filhos.me.147@example.com,5559918033974,TRUE,2022-04-20 02:54:04,2026-12-05 18:54:44
148,PF,Breno Rodrigues,,23338267541,,breno.rodrigues.148@example.com,5589902503926,TRUE,2020-06-22 13:21:00,2024-10-28 22:11:53
149,PF,Kaique Castro,,03714302670,,kaique.castro.149@example.com,5539968562185,TRUE,2026-09-04 12:43:00,2026-10-18 05:03:50
150,PJ,Brito - ME,Barbosa Fernandes - EI,75751477000108,996504773,brito.me.150@example.com,5586962961943,TRUE,2022-03-06 14:25:04,2026-01-03 20:42:49
151,PF,Srta. Antonella da Mata,,68712313823,,srta.antonella.da.mata.151@example.com,55062965511047,TRUE,2026-04-16 21:05:23,2026-07-27 06:31:56
152,PJ,Teixeira ME,,89017732000106,412126788,teixeira.me.152@example.com,5561901581995,TRUE,2020-02-16 23:05:37,2024-08-31 12:11:28
153,PJ,Albuquerque S.A.,,91387417000104,466183982,albuquerque.s.a.153@example.com,5522944472126,TRUE,2021-10-20 04:57:02,2025-03-25 20:04:38
154,PF,Otto da Rosa,,67707129628,,otto.da.rosa.154@example.com,55015943799371,TRUE,2023-03-21 23:04:07,2025-07-22 01:04:11
155,PF,Kevin Abreu,,50883486733,,kevin.abreu.155@example.com,5559965756924,TRUE,2022-07-26 10:19:34,2025-06-28 20:35:14
156,PJ,Pereira EIRELI,Mendes Dias S.A.,13180233000165,654793564,pereira.eireli.156@example.com,5551993982807,TRUE,2023-07-11 21:16:30,2024-03-15 17:32:12
157,PF,Srta. Maysa da Rocha,,60371181593,,srta.maysa.da.rocha.157@example.com,5567924342661,TRUE,2022-07-14 14:51:59,2023-03-03 17:57:03
158,PF,Pietra Pacheco,,23905549468,,pietra.pacheco.158@example.com,5588968058911,FALSE,2025-10-14 21:19:37,2026-07-23 05:40:59
159,PJ,Ribeiro Rios Ltda.,Ramos Pimenta S/A,81638938000133,965610143,ribeiro.rios.ltda.159@example.com,5588999375679,TRUE,2025-09-16 06:59:59,2026-10-04 13:37:04
160,PF,Dra. Clarice Ferreira,,68446549280,,dra.clarice.ferreira.160@example.com,5571946112545,TRUE,2025-10-27 02:26:12,2026-12-16 17:50:48
161,PF,Gabrielly Moreira,,91051645166,,gabrielly.moreira.161@example.com,55057917751401,TRUE,2025-03-06 17:06:24,2026-09-23 11:45:20
162,PJ,Fernandes e Filhos S.A.,Rocha S.A.,45028000000138,382825867,fernandes.e.filhos.s.a.162@example.com,,FALSE,2026-12-21 23:53:31,2026-12-28 03:04:48
163,PF,Maria Julia Abreu,,10290643341,,maria.julia.abreu.163@example.com,5534919182553,TRUE,2024-12-10 01:31:37,2025-04-07 04:10:03
164,PJ,Camargo EIRELI,Rios,26163406000189,785969691,camargo.eireli.164example.com,5557992499125,TRUE,2023-07-05 03:31:30,2025-05-07 00:41:52
165,PJ,da Costa Ltda.,,66032820000173,125286692,da.costa.ltda.165@example.com,5566927828274,TRUE,2026-08-03 22:10:12,2026-08-30 14:46:32
166,PF,Francisco Dias,,32676217712,,francisco.dias.166@example.com,55090950723688,TRUE,2025-12-25 15:07:59,2026-09-15 19:01:18
167,PJ,Jesus EIRELI,Leão,49896342000120,772190340,jesus.eireli.167@example.com,5538942797881,TRUE,2020-04-29 05:39:40,2026-08-18 23:17:49
168,PF,Bruna da Mata,,22225740720,,bruna.da.mata.168@example.com,5558907836134,TRUE,2026-03-06 18:44:23,2026-04-07 19:58:37
169,PF,Rael da Luz,,57413929465,,rael.da.luz.169@example.com,5517913395962,TRUE,2025-09-08 15:08:08,2026-08-04 07:17:47
170,PF,Cecilia Viana,,69764914063,,cecilia.viana.170@example.com,5530995849825,TRUE,2026-01-18 04:00:38,2026-08-21 21:19:47
171,PJ,da Rocha Ltda,Moraes,86007166000155,126042232,da.rocha.ltda.171@example.com,5536972946671,TRUE,2020-08-30 16:55:18,2023-08-23 05:45:32
172,PF,Ayla Guerra,,98810362403,,ayla.guerra.172@example.com,5545977590175,TRUE,2026-12-25 11:17:04,2026-12-30 19:07:47
173,PJ,Vieira - EI ME,Cunha,55557124000164,637454589,vieira.ei.me.173@example.com,55097950017012,TRUE,2025-08-17 19:18:08,2026-10-14 01:00:24
174,PF,Mirella Abreu,,60203640039,,mirella.abreu.174@example.com,5532942415415,FALSE,2023-04-06 08:21:57,2025-12-22 20:04:43
