id,customer_id,address_type,postal_code,street,number,complement,district,city,state,country,is_primary
30,15,billing,62030695,Praça Diias,31,,Camponesa 1ª Seção,Novaes,PA,BR,FALSE
31,15,billing,18112399,Estrada Araújo,65,Apto 987,Tirol,Araújo,PA,BR,FALSE
32,16,billing,31459688,Trevo de Caldeira,7,Apto 196,Belvedere,da Paz,MS,BR,TRUE
33,16,billing,52112036,Rua Campos,24,,Vila Madre Gertrudes 1ª Seção,da Cunha,GO,BR,FALSE
34,16,billing,08197-140,Feira de da Mata,69,Apto 449,Vila Paris,Alves das Flores,AC,BR,FALSE
35,17,billing,80627-456,Trevo Pedro Lucas Rodrigues,185,,Santa Branca,Casa Grande Paulista,AP,BR,TRUE
36,17,billing,29049-577,Estação Ana Vitória Correia,747,,Vila Real 2ª Seção,Pereira de Minas,RN,BR,FALSE
37,18,billing,30164-728,Passarela de Campos,74,,Fernão Dias,Pacheco do Sul,BA,BR,TRUE
38,18,billing,29761-166,Setor Guerra,40,Apto 498,Cdi Jatoba,Guerra da Prata,RN,BR,FALSE
39,19,billing,70165-627,Residencial de Rodrigues,30,,Bela Vitoria,Monteiro Grande,DF,BR,TRUE
40,20,billing,25242352,Parque Bernardo Abreu,558,,Urca,Azevedo dos Dourados,CE,BR,TRUE
41,20,secondary,50520535,Chácara Correia,9,Apto 456,Alta Tensão 1ª Seção,Pimenta de Goiás,MA,BR,FALSE
42,21,billing,32210912,Ladeira de da Luz,51,Apto 140,Vitoria Da Conquista,Moraes de Câmara,GO,BR,TRUE
43,21,secondary,77982402,Condomínio Lima,223,Apto 379,Itaipu,Montenegro,AM,BR,FALSE
44,22,billing,09624265,Rua Luara Cunha,95,,Pousada Santo Antonio,da Paz de Vasconcelos,MS,BR,TRUE
45,22,billing,63488823,Residencial de Pires,55,Apto 422,Vila Cloris,Costa Alegre,AM,BR,FALSE
46,23,billing,78828050,Jardim Fernandes,93,,Vila Paraíso,Moraes,PR,BR,TRUE
47,24,billing,04767666,Área de Nascimento,98,Apto 745,Vila Nossa Senhora Do Rosário,Barros de Silveira,RO,BR,TRUE
48,24,billing,07531368,Trevo Mateus Caldeira,72,,Cdi Jatoba,Ribeiro,RS,BR,FALSE
49,24,secondary,74144301,Parque Barros,64,Apto 299,Mineirão,Fogaça dos Dourados,MA,BR,FALSE
50,25,billing,33199-711,Núcleo de da Conceição,53,,Vila Sumaré,Cavalcante de Pinto,PA,BR,TRUE
51,25,billing,01003-434,Trevo Maysa Fonseca,758,Apto 188,Santa Sofia,Melo,PE,BR,FALSE
52,25,billing,02159-927,Jardim de Cunha,46,Apto 827,São Pedro,Pacheco do Norte,DF,BR,FALSE
53,26,billing,12223954,Área de Macedo,5,Apto 731,Jonas Veiga,Gonçalves,PI,BR,TRUE
54,26,secondary,47774-070,Passarela Gomes,75,Apto 007,Minas Caixa,Castro,PI,BR,FALSE
55,26,secondary,12821938,Setor Lucas Mendes,347,,Novo Glória,Santos do Oeste,RN,BR,FALSE
56,27,billing,30459692,Área de Guerra,16,,Lourdes,Nogueira da Praia,ES,BR,TRUE
57,27,secondary,23443584,Sítio de Borges,9,,Vila Do Pombal,Lopes da Praia,AM,BR,FALSE
58,28,billing,42106378,Chácara de Melo,5,,Senhor Dos Passos,Vieira,MG,BR,TRUE
59,28,secondary,81165-955,Sítio de Pires,59,,Conjunto Lagoa,Pinto,ES,BR,FALSE
60,29,billing,93136-365,Residencial de Cavalcanti,86,,Novo Glória,Melo de Mendonça,MS,BR,TRUE
61,30,billing,58613417,Trevo Diogo Pacheco,93,,Virgínia,Cavalcanti das Pedras,SE,BR,TRUE
62,30,billing,23399-076,Núcleo Alves,2,,Boa União 1ª Seção,Câmara,RN,BR,FALSE
63,30,secondary,54804423,Jardim Melina Pinto,51,,Trevo,Borges,AC,BR,FALSE
64,31,billing,16479-049,Chácara de Fernandes,93,,Vila Ecológica,Garcia,PB,BR,TRUE
65,31,billing,73672-096,Área Cirino,37,,Oeste,Câmara da Serra,AL,BR,FALSE
66,32,billing,86997-245,Recanto de Caldeira,85,,Vila Antena Montanhês,Castro,SP,BR,TRUE
67,32,secondary,70115-491,Viela Melina Costela,16,,Novo São Lucas,Moraes Alegre,PA,BR,FALSE
68,32,billing,10859-735,Parque de Mendes,443,,Barroca,da Mota Paulista,PR,BR,FALSE
69,33,billing,26327676,Trevo Isabel da Luz,88,,Vila Das Oliveiras,Gomes Paulista,TO,BR,TRUE
70,33,secondary,71553-474,Via Brayan Silva,14,,Vila São Geraldo,da Costa dos Dourados,PR,BR,FALSE
71,34,billing,90848965,Via Pinto,15,Apto 375,Jaqueline,Vargas,PR,BR,TRUE
72,35,billing,53833856,Estrada de Cirino,713,Apto 964,Vila Pinho,Sampaio,GO,BR,TRUE
73,36,billing,73730415,Parque Cunha,14,Apto 510,Vista Alegre,Jesus,MS,BR,TRUE
74,37,billing,87963346,Ladeira Letícia da Mata,16,,Goiania,Carvalho,PR,BR,TRUE
75,37,secondary,99741592,Travessa da Paz,1,,Santo Agostinho,Almeida,CE,BR,FALSE
76,37,secondary,60781-951,Lagoa Rafaela da Luz,877,,Dom Cabral,da Costa,TO,BR,FALSE
77,38,billing,61443575,Recanto Sarah Pastor,15,,Vitoria Da Conquista,Rios da Serra,PA,BR,TRUE
78,39,billing,27068756,Avenida Maria Luísa Barros,312,,Frei Leopoldo,Brito do Oeste,RJ,BR,TRUE
79,39,billing,23774599,Lagoa de Rocha,4,,Castelo,Monteiro,PA,BR,FALSE
80,39,secondary,05807-910,Pasarela de Ramos,11,Apto 640,Santa Inês,Marques,PE,BR,FALSE
81,40,billing,84784830,Jardim Moreira,47,,Oeste,Ribeiro da Mata,RR,BR,TRUE
82,40,secondary,44927280,Aeroporto de Correia,8,,São Vicente,Vieira,RO,BR,FALSE
83,41,billing,43167-859,Ladeira de da Luz,90,Apto 895,Vila Piratininga,Alves,DF,BR,TRUE
84,42,billing,07560526,Vale de Vasconcelos,2,,Vila Piratininga,Castro do Oeste,TO,BR,TRUE
85,42,billing,29996633,Trevo Cavalcante,75,,Maria Goretti,Abreu de Goiás,AC,BR,FALSE
86,43,billing,99154-027,Esplanada Alves,3,Apto 953,Buraco Quente,Abreu do Sul,MA,BR,TRUE
87,44,billing,31820682, Lagoa Moura,1,Apto 930,Castelo,da Rosa do Galho,MA,BR,TRUE
88,45,billing,38577-973,Rua de Souza,64,,Vila Cemig,da Costa do Galho,TO,BR,TRUE
89,45,secondary,51827238,Praça da Mota,69,,Vila Jardim Montanhes,Montenegro,MT,BR,FALSE
90,45,billing,55768815,Trecho Bryan da Cruz,9,Apto 196,Vila Oeste,da Rosa Paulista,SC,BR,FALSE
91,46,billing,61504-884,Condomínio de Silva,90,Apto 924,Jardim Do Vale,Silva da Mata,AL,BR,TRUE
92,46,billing,50769555,Vila de Vasconcelos,65,,Santa Terezinha,Araújo,PE,BR,FALSE
93,46,billing,27754777,Ladeira Esther Oliveira,55,Apto 123,São Benedito,Casa Grande de da Paz,SC,BR,FALSE
94,47,billing,79790070,Lago de Farias,59,,São Salvador,Nunes das Pedras,PB,BR,TRUE
95,47,billing,16623-956,Residencial de Campos,65,,Túnel De Ibirité,Fernandes,AC,BR,FALSE
96,47,secondary,76749064,Distrito Vasconcelos,37,Apto 765,Distrito Industrial Do Jatoba,da Paz,TO,BR,FALSE
97,48,billing,13417-005,Núcleo Bárbara Novais,64,Apto 595,Lourdes,Lopes da Serra,AM,BR,TRUE
98,49,billing,83357-668,Sítio Viana,550,Apto 910,Santa Rita,Teixeira do Norte,MA,BR,TRUE
99,50,billing,17155785,Chácara Pires,479,,Etelvina Carneiro,Novais das Flores,AL,BR,TRUE
100,50,billing,16089888,Via Benicio Borges,6,,Marmiteiros,Peixoto,AP,BR,FALSE
101,50,secondary,15320264,Área Pimenta,43,,Itaipu,da Cruz do Amparo,RJ,BR,FALSE
102,51,billing,20388782,Campo de Novais,993,Apto 447,São Damião,Sá,SP,BR,TRUE
103,51,secondary,76634-208,Lagoa Moraes,3,,Jardim Guanabara,Souza,SP,BR,FALSE
104,51,secondary,64742-644,Jardim Martins,832,Apto 966,Frei Leopoldo,Peixoto de Viana,RS,BR,FALSE
105,52,billing,81877-449,Esplanada de das Neves,88,,Vila Engenho Nogueira,das Neves,GO,BR,TRUE
106,52,billing,93995-315,Praça Isis das Neves,53,,Aguas Claras,Pires,MG,BR,FALSE
107,53,billing,89649666,Rua de Azevedo,9,Apto 229,Vila Satélite,da Cruz,RO,BR,TRUE
108,53,billing,46872203,Favela Raul Mendonça,740,,Vila Independencia 2ª Seção,Costela,PE,BR,FALSE
109,53,billing,74857-830,Loteamento Beatriz Pacheco,85,,Vila Engenho Nogueira,Rezende da Praia,TO,BR,FALSE
110,54,billing,86800-551,Conjunto de Gonçalves,56,,Vila Cloris,Pereira Paulista,DF,BR,TRUE
111,54,billing,32705-614,Morro Matheus da Cunha,12,,Beira Linha,Cassiano de Minas,RO,BR,FALSE
112,55,billing,74715-203,Chácara Francisco Oliveira,650,,Nova America,Pires do Campo,ES,BR,TRUE
113,55,billing,58508143,Estação Santos,787,Apto 632,Barroca,Rios de Pastor,RR,BR,FALSE
114,56,billing,42338106,Rodovia Pimenta,8,Apto 005,Conjunto Bonsucesso,Pereira,AP,BR,TRUE
115,56,billing,57496-599,Loteamento Cardoso,30,,Marçola,Brito do Campo,SE,BR,FALSE
116,57,billing,35830-407,Núcleo Josué Câmara,7,,Boa União 2ª Seção,Peixoto,SP,BR,TRUE
117,57,secondary,21689745,Quadra Camargo,47,,Floresta,Aparecida,MA,BR,FALSE
118,58,billing,19274312,Praça Juliana Ferreira,30,Apto 336,Bonsucesso,Fogaça Alegre,PE,BR,TRUE
119,58,secondary,62475552,Quadra João Lucas Aragão,86,,Vila Primeiro De Maio,Casa Grande,PB,BR,FALSE
120,59,billing,10056-870,Trecho André Dias,21,,Conjunto São Francisco De Assis,Sampaio,PE,BR,TRUE
121,59,billing,67932353,Fazenda de Teixeira,60,,Independência,Siqueira Verde,RR,BR,FALSE
122,59,billing,16570-794,Distrito Caldeira,330,,Indaiá,Gonçalves,RO,BR,FALSE
123,60,billing,68551-902,Área de da Rosa,2,,Laranjeiras,Nogueira do Galho,AL,BR,TRUE
124,61,billing,10933-465,Feira de Câmara,43,,Ademar Maldonado,Mendes da Praia,RR,BR,TRUE
125,61,secondary,37009-841,Jardim Ravi Lucca Machado,30,Apto 170,Palmares,Macedo do Norte,AM,BR,FALSE
126,61,secondary,59283397,Praia Ramos,956,Apto 176,Varzea Da Palma,Freitas de Andrade,MS,BR,FALSE
127,62,billing,73930105,Núcleo de Pastor,7,,Venda Nova,da Cruz,RR,BR,TRUE
128,62,billing,79364708,Jardim de Silveira,70,,Marçola,Fogaça Grande,SC,BR,FALSE
129,62,billing,93570-765,Travessa da Luz,12,?,Pompéia,Lima Grande,RS,BR,FALSE
130,63,billing,71926026,Campo de Campos,168,Apto 109,Prado,Lopes,TO,BR,TRUE
131,63,secondary,91949081,Quadra de Aragão,4,,Cidade Jardim Taquaril,Sales de Guerra,RO,BR,FALSE
132,63,billing,80587777,Chácara da Mota,772,Apto 821,Califórnia,Lima das Flores,MA,BR,FALSE
133,64,billing,07735-956,Travessa de Rodrigues,3,Apto 205,Santa Monica,Costela,MS,BR,TRUE
134,64,secondary,39748-925,Avenida Monteiro,71,,Pirineus,Silveira do Galho,PA,BR,FALSE
135,64,secondary,35818-217,Residencial de da Luz,874,,Paulo Vi,Freitas,RN,BR,FALSE
136,65,billing,84383-569,Trecho de Melo,3,,Marçola,Vargas,AL,BR,TRUE
137,65,secondary,93064691,Parque Mendonça,2,Apto 969,Taquaril,Costela,MS,BR,FALSE
138,65,secondary,03138783,Largo Ramos,38,Apto 875,Flamengo,Farias,TO,BR,FALSE
139,66,billing,26202-948,Jardim Maria Luiza Montenegro,2,Apto 282,Nossa Senhora Da Conceição,da Rocha,SC,BR,TRUE
140,66,billing,17392-229,Chácara Macedo,78,,Madre Gertrudes,Vieira,ES,BR,FALSE
141,66,secondary,75055-777,Chácara de Marques,23,,Serra,Rios,MA,BR,FALSE
142,67,billing,45353811,Loteamento de Monteiro,30,,São Luiz,Castro de Aragão,RN,BR,TRUE
143,67,secondary,80369-575,Estação Théo Costa,29,Apto 686,Fernão Dias,Abreu de Moreira,PI,BR,FALSE
144,67,secondary,50694-394,Colônia Dante Viana,1,,Jardim São José,Mendonça,SP,BR,FALSE
145,68,billing,49354-921,Colônia Moura,9,,São Paulo,Pimenta do Campo,DF,BR,TRUE
146,68,secondary,93575384,Vereda de Barbosa,2,Apto 570,Barroca,da Rosa,PB,BR,FALSE
147,69,billing,60164-262,Loteamento Ayla da Paz,12,Apto 213,Manacas,Vieira das Flores,RN,BR,TRUE
148,69,secondary,23940717,Viaduto da Rocha,74,,Miramar,Pinto,MT,BR,FALSE
149,70,billing,70060-398,Avenida Macedo,751,,Custodinha,Carvalho de Minas,GO,BR,TRUE
150,70,secondary,20224175,Campo Hadassa Moraes,6,Apto 641,São Geraldo,da Mata do Campo,DF,BR,FALSE
151,70,billing,36650285,Campo de Farias,95,Apto 179,Caetano Furquim,Siqueira do Amparo,PI,BR,FALSE
152,71,billing,90524922,Trecho Camargo,5,,Conjunto Celso Machado,Montenegro do Campo,MA,BR,TRUE
153,72,billing,40138569,Estrada de Pacheco,5,Apto 265,Conjunto Califórnia I,Campos,TO,BR,TRUE
154,73,billing,01740209,Via de da Rosa,96,Apto 886,Nossa Senhora Da Conceição,Pinto da Mata,PI,BR,TRUE
155,73,secondary,82729136,Viaduto Beatriz Pereira,7,,Jonas Veiga,Sales Verde,AM,BR,FALSE
156,73,secondary,32180-113,Rua Dias,23,,Maria Virgínia,Nascimento da Serra,ES,BR,FALSE
157,74,billing,28402-246,Passarela Mendes,4,Apto 202,Juliana,Sá,GO,BR,TRUE
158,74,billing,38670776,Lagoa Vargas,49,,Vila Da Luz,Porto de Santos,PA,BR,FALSE
159,75,billing,74087-721,Praia Rezende,52,Apto 003,Vila De Sá,Sampaio,AL,BR,TRUE
160,76,billing,10972-472,Ladeira Luiz Otávio Lopes,24,,Olhos D'água,Pastor,CE,BR,TRUE
161,77,billing,63985-238,Colônia de Novaes,48,Apto 632,Vila São João Batista,Novaes de Rezende,PA,BR,TRUE
162,78,billing,70423573,Rua Pimenta,459,Apto 116,Vila Jardim Alvorada,Rocha,AP,BR,TRUE
163,78,billing,53470507,Aeroporto de Monteiro,15,Apto 884,Serrano,Ribeiro Verde,RN,BR,FALSE
164,78,billing,35768-662,Feira Nogueira,6,,Cidade Nova,Barbosa Paulista,PI,BR,FALSE
165,79,billing,54225-955,Estrada Correia,6,Apto 915,Jardim Guanabara,Pacheco,PA,BR,TRUE
166,79,billing,51109674,Colônia Raul Lima,66,,Vila Paquetá,Farias,SC,BR,FALSE
167,80,billing,41737223,Conjunto Larissa Sampaio,88,,Vila Jardim Montanhes,Santos,DF,BR,TRUE
168,81,billing,38128171,Vale de Rezende,535,Apto 752,Estoril,Barbosa,CE,BR,TRUE
169,81,billing,59637-311,Trevo Noah da Costa,1,Apto 886,Conjunto Floramar,Aragão,TO,BR,FALSE
170,82,billing,59400-381,Alameda de da Cruz,94,,Marmiteiros,Rocha,AL,BR,TRUE
171,83,billing,21824140,Chácara de Machado,3,Apto 846,Bela Vitoria,Porto da Prata,PR,BR,TRUE
172,83,billing,32149-997,Favela Rios,50,Apto 347,Grota,Silveira,DF,BR,FALSE
173,84,billing,42106-510,Lago Gonçalves,2,Apto 041,Dom Bosco,da Costa,MT,BR,TRUE
174,84,billing,57942-072,Viela de Cardoso,69,Apto 672,Vila Do Pombal,Mendonça,MG,BR,FALSE
175,85,billing,89898787,Praça Maria Laura Sousa,25,Apto 387,Piraja,Cardoso,SE,BR,TRUE
176,85,secondary,98189397,Vereda de Castro,5,,Santa Sofia,Câmara de Andrade,GO,BR,FALSE
177,86,billing,19455-868,Via Sousa,53,,Canaa,Monteiro,RJ,BR,TRUE
178,86,secondary,40315-758,Vale Matheus Nunes,9,,Vila Cemig,da Costa das Flores,SC,BR,FALSE
179,87,billing,05449339,Praia Barros,154,,Nova Cachoeirinha,Moreira,MT,BR,TRUE
180,87,secondary,70207-153,Sítio Agatha Cirino,6,,Maria Virgínia,Silveira Alegre,SP,BR,FALSE
181,87,secondary,54407896,Quadra Milena Moura,392,Apto 100,Petropolis,Rocha,RO,BR,FALSE
182,88,billing,40947112,Passarela Heitor Sales,85,,São Jorge 2ª Seção,da Mota,AM,BR,TRUE
183,88,secondary,48667186,Ladeira Kaique Lopes,54,Apto 704,Serra Verde,Melo de Minas,AM,BR,FALSE
184,89,billing,18770332,Quadra Calebe Sales,44,Apto 073,Chácara Leonina,Garcia das Pedras,SP,BR,TRUE
185,90,billing,49030-438,Quadra Macedo,398,,Guaratã,Oliveira da Serra,MA,BR,TRUE
186,90,secondary,04811-301,Praça de Vargas,33,,Goiania,da Luz,MS,BR,FALSE
187,91,billing,51812-759,Recanto Araújo,4,,Indaiá,Teixeira,PB,BR,TRUE
188,91,secondary,32567-405,Parque Carvalho,31,Apto 311,Estoril,da Luz do Campo,RS,BR,FALSE
189,92,billing,19020607,Feira Sousa,49,,Barão Homem De Melo 2ª Seção,Fonseca,BA,BR,TRUE
190,92,billing,14426735,Sítio da Luz,75,,Capitão Eduardo,Jesus,AM,BR,FALSE
191,92,billing,99944-261,Ladeira de Farias,83,,Vila Santo Antônio,Nascimento Grande,MG,BR,FALSE
192,93,billing,95081499,Lagoa de Andrade,33,Apto 358,Mariquinhas,Ferreira,PE,BR,TRUE
193,94,billing,35288050,Largo Caleb Monteiro,819,Apto 354,Vila Suzana Primeira Seção,Cardoso da Praia,CE,BR,TRUE
194,94,billing,77774-449,Jardim Samuel Andrade,56,Apto 006,Aeroporto,Nunes da Prata,PE,BR,FALSE
195,94,billing,64862755,Residencial Martins,638,Apto 460,Tres Marias,Carvalho,AM,BR,FALSE
196,95,billing,40725453,Praça de Aparecida,7,,Beija Flor,Casa Grande,TO,BR,TRUE
197,96,billing,70792-625,Colônia de Santos,44,,Casa Branca,Vasconcelos do Norte,DF,BR,TRUE
198,96,billing,50394398,Jardim de da Mata,97,Apto 952,Vila Jardim São José,Lima,AP,BR,FALSE
199,96,secondary,94964-549,Morro de Silva,957,,Vila Paris,Cavalcanti,PB,BR,FALSE
200,97,billing,17427183,Distrito Rodrigues,30,,Ermelinda,Gonçalves,RO,BR,TRUE
201,97,secondary,76176404,Ladeira Siqueira,65,,Caetano Furquim,Castro,PI,BR,FALSE
202,98,billing,38110-502,Conjunto de Nascimento,820,Apto 459,Maria Tereza,Vieira,PE,BR,TRUE
203,98,secondary,76774239,Largo Sampaio,43,,Esplanada,Correia de Siqueira,SE,BR,FALSE
204,98,secondary,78396921,Condomínio Bryan Albuquerque,16,Apto 772,Bernadete,Correia Paulista,RR,BR,FALSE
205,99,billing,96537-155,Feira Henry Gabriel Alves,12,,Senhor Dos Passos,Azevedo,PI,BR,TRUE
206,99,billing,30950-793,Quadra Machado,31,,Vila Aeroporrto,Correia de da Mota,AP,BR,FALSE
207,99,billing,85027-590,Distrito de Jesus,100,,Pongelupe,Cavalcanti,AC,BR,FALSE
208,100,billing,12189-452,Trevo Ramos,79,?,Embaúbas,Duarte,SE,BR,TRUE
209,100,billing,51757-903,Estrada Albuquerque,188,Apto 609,Jaraguá,Martins,MT,BR,FALSE
210,101,billing,24130078,Setor de Lima,95,,Vila Mantiqueira,Duarte de Fernandes,RO,BR,TRUE
211,101,billing,09591-450,Vale Luna Cavalcanti,76,,Vila Bandeirantes,Rocha das Flores,BA,BR,FALSE
212,101,billing,28651-814,Conjunto de Aparecida,93,,Indaiá,Aparecida Paulista,MG,BR,FALSE
213,102,billing,17643493,Lago de Caldeira,86,,Grotinha,Macedo,PI,BR,TRUE
214,102,billing,98585-749,Chácara Aragão,86,,Vila Copacabana,Lima,MA,BR,FALSE
215,103,billing,87939789,Favela Maria Melo,2,,Conjunto Celso Machado,Oliveira do Oeste,TO,BR,TRUE
216,104,billing,64598243,Setor Arthur da Mata,50,Apto 079,Dom Bosco,Ferreira de Minas,SE,BR,TRUE
217,104,secondary,56926-920,Viaduto Silveira,47,,Mangueiras,Campos de Casa Grande,MS,BR,FALSE
218,104,secondary,72123-008,Quadra Natália Oliveira,29,Apto 532,Vila Nossa Senhora Do Rosário,Cirino Alegre,SP,BR,FALSE
219,105,billing,60098-057,Favela de Jesus,103,Apto 341,Estoril,Porto,MG,BR,TRUE
220,105,billing,32985-684,Viela de Pereira,17,,Vila Petropolis,Aparecida de Lima,AL,BR,FALSE
221,106,billing,74614337,Avenida Viana,29,,Vila Olhos D'água,das Neves de da Paz,DF,BR,TRUE
222,107,billing,87163-876,CHÁCARA FOGAÇA,57,,Vila De Sá,Sousa,MT,BR,TRUE
223,107,secondary,58661-824,Residencial de das Neves,5,,Conjunto Novo Dom Bosco,Montenegro de Fonseca,ES,BR,FALSE
224,107,secondary,41988726,Jardim Rodrigues,321,Apto 233,Teixeira Dias,Campos,MT,BR,FALSE
225,108,billing,07132044,Jardim de Vasconcelos,86,,Alto Barroca,Barbosa de Fonseca,TO,BR,TRUE
226,109,billing,17660-456,Trecho de da Conceição,711,Apto 457,Vila Da Paz,Mendonça dos Dourados,SP,BR,TRUE
227,110,billing,57666-476,Sítio Fogaça,90,,Vila Havaí,Ramos Grande,RJ,BR,TRUE
228,110,billing,45521-750,Travessa Stephany Moreira,38,Apto 988,Santa Branca,Martins,MS,BR,FALSE
229,111,billing,42206-185,Área de Leão,929,,Pirineus,Ramos,PE,BR,TRUE
230,112,billing,40067-246,Estrada Breno da Cruz,51,,Goiania,Correia,AP,BR,TRUE
231,112,secondary,93301118,Viaduto Asafe Guerra,94,,São João,Fernandes do Galho,PR,BR,FALSE
232,113,billing,52452-961,Campo Yuri Correia,89,,Nova Granada,Ferreira dos Dourados,RR,BR,TRUE
233,113,billing,51798387,Chácara de Ribeiro,65,Apto 669,Oeste ,Ribeiro,DF,BR,FALSE
234,114,billing,86417-825,Parque de Aparecida,2,,Vila São Geraldo,Cardoso Paulista,PA,BR,TRUE
235,114,secondary,76293-684,Praça Moura,81,,Olaria,Nunes de Siqueira,TO,BR,FALSE
236,114,secondary,10271909,Viela José Miguel Albuquerque,88,,Conjunto Celso Machado,Cardoso,AM,BR,FALSE
237,115,billing,19045-624,Ladeira de Leão,12,,Cabana Do Pai Tomás,Fernandes das Pedras,PA,BR,TRUE
238,115,secondary,39350824,conjunto gomes,45,Apto 814,Alpes,Aragão,RS,BR,FALSE
239,116,billing,55984-142,Distrito da Paz,643,Apto 074,Marilandia,Teixeira,SC,BR,TRUE
240,117,billing,32809997,Conjuno da Luz,50,,Coração Eucarístico,Borges,AC,BR,TRUE
241,118,billing,77182353,Residencial Melo,77,,Pantanal,Azevedo dos Dourados,BA,BR,TRUE
242,119,billing,57355-481,Quadra Gael Cirino,76,,CAMARGOS,Rodrigues de Goiás,RJ,BR,TRUE
243,119,secondary,92942702,Morro Araújo,4,Apto 433,Solimoes,Lopes,CE,BR,FALSE
244,119,secondary,98958-247,Estrada Pedro Santos,112,Apto 371,Vila Madre Gertrudes 1ª Seção,Casa Grande,PB,BR,FALSE
245,120,billing,93955-714,Chácara Vieira,7,,Itaipu,Cavalcanti,AL,BR,TRUE
246,120,billing,59100-443,Jardim Pedro Gonçalves,54,,Embaúbas,Souza,SP,BR,FALSE
247,121,billing,91422-007,Distrito de Cavalcante,96,,Frei Leopoldo,Castro dos Dourados,PE,BR,TRUE
248,122,billing,87857109,Estrada Nogueira,13,,Alpes,Pastor,AL,BR,TRUE
249,122,secondary,63258677,Lago Isis Freitas,861,-,Conjunto Jatoba,Martins do Sul,ES,BR,FALSE
250,122,billing,46332-465,Viaduto de Jesus,641,,Lorena,Martins,MT,BR,FALSE
251,123,billing,35185-176,Viela de Gomes,69,Apto 965,Vila Suzana Segunda Seção,Albuquerque do Norte,SE,BR,TRUE
252,123,billing,37522964,Jardim de Porto,11,Apto 922,Lourdes,Duarte,AP,BR,FALSE
253,124,billing,55795-372,Residencial Gonçalves,50,,Betânia,Casa Grande das Pedras,MA,BR,TRUE
254,124,secondary,02970813,Distrito Luiz Henrique Pastor,121,Apto 935,Vila Cemig,das Neves,RO,BR,FALSE
